"region","byggnadstyp","strandtyp","typ av område","år","Antal byggnader inom 100 meter från strand"
"00 Riket","bostad","totalt","inom tätort","2018",145578
"00 Riket","bostad","totalt","inom tätort","2019",146291
"00 Riket","bostad","totalt","inom tätort","2020",148891
"00 Riket","bostad","totalt","inom tätort","2021",149366
"00 Riket","bostad","totalt","inom tätort","2022",151328
"00 Riket","bostad","totalt","inom tätort","2023",153243
"00 Riket","bostad","totalt","inom formellt skyddad natur","2018",6572
"00 Riket","bostad","totalt","inom formellt skyddad natur","2019",6639
"00 Riket","bostad","totalt","inom formellt skyddad natur","2020",6621
"00 Riket","bostad","totalt","inom formellt skyddad natur","2021",6634
"00 Riket","bostad","totalt","inom formellt skyddad natur","2022",6625
"00 Riket","bostad","totalt","inom formellt skyddad natur","2023",6603
"00 Riket","bostad","totalt","totalt","2018",452142
"00 Riket","bostad","totalt","totalt","2019",453863
"00 Riket","bostad","totalt","totalt","2020",454345
"00 Riket","bostad","totalt","totalt","2021",455010
"00 Riket","bostad","totalt","totalt","2022",458564
"00 Riket","bostad","totalt","totalt","2023",459302
"00 Riket","industri","hav","inom tätort","2018",2433
"00 Riket","industri","hav","inom tätort","2019",2500
"00 Riket","industri","hav","inom tätort","2020",2548
"00 Riket","industri","hav","inom tätort","2021",2573
"00 Riket","industri","hav","inom tätort","2022",2540
"00 Riket","industri","hav","inom tätort","2023",2544
"00 Riket","industri","hav","inom formellt skyddad natur","2018",82
"00 Riket","industri","hav","inom formellt skyddad natur","2019",88
"00 Riket","industri","hav","inom formellt skyddad natur","2020",88
"00 Riket","industri","hav","inom formellt skyddad natur","2021",88
"00 Riket","industri","hav","inom formellt skyddad natur","2022",87
"00 Riket","industri","hav","inom formellt skyddad natur","2023",89
"00 Riket","industri","hav","totalt","2018",3142
"00 Riket","industri","hav","totalt","2019",3225
"00 Riket","industri","hav","totalt","2020",3270
"00 Riket","industri","hav","totalt","2021",3310
"00 Riket","industri","hav","totalt","2022",3305
"00 Riket","industri","hav","totalt","2023",3293
"00 Riket","industri","inlandsvatten","inom tätort","2018",7557
"00 Riket","industri","inlandsvatten","inom tätort","2019",7682
"00 Riket","industri","inlandsvatten","inom tätort","2020",7726
"00 Riket","industri","inlandsvatten","inom tätort","2021",7738
"00 Riket","industri","inlandsvatten","inom tätort","2022",7888
"00 Riket","industri","inlandsvatten","inom tätort","2023",8015
"00 Riket","industri","inlandsvatten","inom formellt skyddad natur","2018",43
"00 Riket","industri","inlandsvatten","inom formellt skyddad natur","2019",46
"00 Riket","industri","inlandsvatten","inom formellt skyddad natur","2020",47
"00 Riket","industri","inlandsvatten","inom formellt skyddad natur","2021",47
"00 Riket","industri","inlandsvatten","inom formellt skyddad natur","2022",45
"00 Riket","industri","inlandsvatten","inom formellt skyddad natur","2023",41
"00 Riket","industri","inlandsvatten","totalt","2018",10898
"00 Riket","industri","inlandsvatten","totalt","2019",11100
"00 Riket","industri","inlandsvatten","totalt","2020",11090
"00 Riket","industri","inlandsvatten","totalt","2021",11141
"00 Riket","industri","inlandsvatten","totalt","2022",11406
"00 Riket","industri","inlandsvatten","totalt","2023",11498
"00 Riket","industri","totalt","inom tätort","2018",9990
"00 Riket","industri","totalt","inom tätort","2019",10182
"00 Riket","industri","totalt","inom tätort","2020",10274
"00 Riket","industri","totalt","inom tätort","2021",10311
"00 Riket","industri","totalt","inom tätort","2022",10428
"00 Riket","industri","totalt","inom tätort","2023",10559
"00 Riket","industri","totalt","inom formellt skyddad natur","2018",125
"00 Riket","industri","totalt","inom formellt skyddad natur","2019",134
"00 Riket","industri","totalt","inom formellt skyddad natur","2020",135
"00 Riket","industri","totalt","inom formellt skyddad natur","2021",135
"00 Riket","industri","totalt","inom formellt skyddad natur","2022",132
"00 Riket","industri","totalt","inom formellt skyddad natur","2023",130
"00 Riket","industri","totalt","totalt","2018",14040
"00 Riket","industri","totalt","totalt","2019",14325
"00 Riket","industri","totalt","totalt","2020",14360
"00 Riket","industri","totalt","totalt","2021",14451
"00 Riket","industri","totalt","totalt","2022",14711
"00 Riket","industri","totalt","totalt","2023",14791
"00 Riket","samhällsfunktion","hav","inom tätort","2018",2000
"00 Riket","samhällsfunktion","hav","inom tätort","2019",2047
"00 Riket","samhällsfunktion","hav","inom tätort","2020",2144
"00 Riket","samhällsfunktion","hav","inom tätort","2021",2169
"00 Riket","samhällsfunktion","hav","inom tätort","2022",2204
"00 Riket","samhällsfunktion","hav","inom tätort","2023",2231
"00 Riket","samhällsfunktion","hav","inom formellt skyddad natur","2018",232
"00 Riket","samhällsfunktion","hav","inom formellt skyddad natur","2019",239
"00 Riket","samhällsfunktion","hav","inom formellt skyddad natur","2020",258
"00 Riket","samhällsfunktion","hav","inom formellt skyddad natur","2021",261
"00 Riket","samhällsfunktion","hav","inom formellt skyddad natur","2022",263
"00 Riket","samhällsfunktion","hav","inom formellt skyddad natur","2023",270
"00 Riket","samhällsfunktion","hav","totalt","2018",3270
"00 Riket","samhällsfunktion","hav","totalt","2019",3412
"00 Riket","samhällsfunktion","hav","totalt","2020",3450
"00 Riket","samhällsfunktion","hav","totalt","2021",3491
"00 Riket","samhällsfunktion","hav","totalt","2022",3550
"00 Riket","samhällsfunktion","hav","totalt","2023",3552
"00 Riket","samhällsfunktion","inlandsvatten","inom tätort","2018",10434
"00 Riket","samhällsfunktion","inlandsvatten","inom tätort","2019",10665
"00 Riket","samhällsfunktion","inlandsvatten","inom tätort","2020",10893
"00 Riket","samhällsfunktion","inlandsvatten","inom tätort","2021",11001
"00 Riket","samhällsfunktion","inlandsvatten","inom tätort","2022",11226
"00 Riket","samhällsfunktion","inlandsvatten","inom tätort","2023",11423
"00 Riket","samhällsfunktion","inlandsvatten","inom formellt skyddad natur","2018",239
"00 Riket","samhällsfunktion","inlandsvatten","inom formellt skyddad natur","2019",246
"00 Riket","samhällsfunktion","inlandsvatten","inom formellt skyddad natur","2020",251
"00 Riket","samhällsfunktion","inlandsvatten","inom formellt skyddad natur","2021",253
"00 Riket","samhällsfunktion","inlandsvatten","inom formellt skyddad natur","2022",275
"00 Riket","samhällsfunktion","inlandsvatten","inom formellt skyddad natur","2023",275
"00 Riket","samhällsfunktion","inlandsvatten","totalt","2018",17033
"00 Riket","samhällsfunktion","inlandsvatten","totalt","2019",17482
"00 Riket","samhällsfunktion","inlandsvatten","totalt","2020",17746
"00 Riket","samhällsfunktion","inlandsvatten","totalt","2021",17993
"00 Riket","samhällsfunktion","inlandsvatten","totalt","2022",18500
"00 Riket","samhällsfunktion","inlandsvatten","totalt","2023",18660
"00 Riket","samhällsfunktion","totalt","inom tätort","2018",12434
"00 Riket","samhällsfunktion","totalt","inom tätort","2019",12712
"00 Riket","samhällsfunktion","totalt","inom tätort","2020",13037
"00 Riket","samhällsfunktion","totalt","inom tätort","2021",13170
"00 Riket","samhällsfunktion","totalt","inom tätort","2022",13430
"00 Riket","samhällsfunktion","totalt","inom tätort","2023",13654
"00 Riket","samhällsfunktion","totalt","inom formellt skyddad natur","2018",471
"00 Riket","samhällsfunktion","totalt","inom formellt skyddad natur","2019",485
"00 Riket","samhällsfunktion","totalt","inom formellt skyddad natur","2020",509
"00 Riket","samhällsfunktion","totalt","inom formellt skyddad natur","2021",514
"00 Riket","samhällsfunktion","totalt","inom formellt skyddad natur","2022",538
"00 Riket","samhällsfunktion","totalt","inom formellt skyddad natur","2023",545
"00 Riket","samhällsfunktion","totalt","totalt","2018",20303
"00 Riket","samhällsfunktion","totalt","totalt","2019",20894
"00 Riket","samhällsfunktion","totalt","totalt","2020",21196
"00 Riket","samhällsfunktion","totalt","totalt","2021",21484
"00 Riket","samhällsfunktion","totalt","totalt","2022",22050
"00 Riket","samhällsfunktion","totalt","totalt","2023",22212
"00 Riket","verksamhet","hav","inom tätort","2018",2132
"00 Riket","verksamhet","hav","inom tätort","2019",2172
"00 Riket","verksamhet","hav","inom tätort","2020",2247
"00 Riket","verksamhet","hav","inom tätort","2021",2272
"00 Riket","verksamhet","hav","inom tätort","2022",2332
"00 Riket","verksamhet","hav","inom tätort","2023",2414
"00 Riket","verksamhet","hav","inom formellt skyddad natur","2018",242
"00 Riket","verksamhet","hav","inom formellt skyddad natur","2019",245
"00 Riket","verksamhet","hav","inom formellt skyddad natur","2020",248
"00 Riket","verksamhet","hav","inom formellt skyddad natur","2021",250
"00 Riket","verksamhet","hav","inom formellt skyddad natur","2022",253
"00 Riket","verksamhet","hav","inom formellt skyddad natur","2023",253
"00 Riket","verksamhet","hav","totalt","2018",2949
"00 Riket","verksamhet","hav","totalt","2019",2998
"00 Riket","verksamhet","hav","totalt","2020",3088
"00 Riket","verksamhet","hav","totalt","2021",3120
"00 Riket","verksamhet","hav","totalt","2022",3206
"00 Riket","verksamhet","hav","totalt","2023",3293
"00 Riket","verksamhet","inlandsvatten","inom tätort","2018",6508
"00 Riket","verksamhet","inlandsvatten","inom tätort","2019",6587
"00 Riket","verksamhet","inlandsvatten","inom tätort","2020",6848
"00 Riket","verksamhet","inlandsvatten","inom tätort","2021",6910
"00 Riket","verksamhet","inlandsvatten","inom tätort","2022",7041
"00 Riket","verksamhet","inlandsvatten","inom tätort","2023",7229
"00 Riket","verksamhet","inlandsvatten","inom formellt skyddad natur","2018",110
"00 Riket","verksamhet","inlandsvatten","inom formellt skyddad natur","2019",111
"00 Riket","verksamhet","inlandsvatten","inom formellt skyddad natur","2020",112
"00 Riket","verksamhet","inlandsvatten","inom formellt skyddad natur","2021",111
"00 Riket","verksamhet","inlandsvatten","inom formellt skyddad natur","2022",121
"00 Riket","verksamhet","inlandsvatten","inom formellt skyddad natur","2023",127
"00 Riket","verksamhet","inlandsvatten","totalt","2018",9118
"00 Riket","verksamhet","inlandsvatten","totalt","2019",9222
"00 Riket","verksamhet","inlandsvatten","totalt","2020",9537
"00 Riket","verksamhet","inlandsvatten","totalt","2021",9621
"00 Riket","verksamhet","inlandsvatten","totalt","2022",9891
"00 Riket","verksamhet","inlandsvatten","totalt","2023",10124
"00 Riket","verksamhet","totalt","inom tätort","2018",8640
"00 Riket","verksamhet","totalt","inom tätort","2019",8759
"00 Riket","verksamhet","totalt","inom tätort","2020",9095
"00 Riket","verksamhet","totalt","inom tätort","2021",9182
"00 Riket","verksamhet","totalt","inom tätort","2022",9373
"00 Riket","verksamhet","totalt","inom tätort","2023",9643
"00 Riket","verksamhet","totalt","inom formellt skyddad natur","2018",352
"00 Riket","verksamhet","totalt","inom formellt skyddad natur","2019",356
"00 Riket","verksamhet","totalt","inom formellt skyddad natur","2020",360
"00 Riket","verksamhet","totalt","inom formellt skyddad natur","2021",361
"00 Riket","verksamhet","totalt","inom formellt skyddad natur","2022",374
"00 Riket","verksamhet","totalt","inom formellt skyddad natur","2023",380
"00 Riket","verksamhet","totalt","totalt","2018",12067
"00 Riket","verksamhet","totalt","totalt","2019",12220
"00 Riket","verksamhet","totalt","totalt","2020",12625
"00 Riket","verksamhet","totalt","totalt","2021",12741
"00 Riket","verksamhet","totalt","totalt","2022",13097
"00 Riket","verksamhet","totalt","totalt","2023",13417
"00 Riket","ekonomibyggnad","hav","inom tätort","2018",137
"00 Riket","ekonomibyggnad","hav","inom tätort","2019",138
"00 Riket","ekonomibyggnad","hav","inom tätort","2020",140
"00 Riket","ekonomibyggnad","hav","inom tätort","2021",142
"00 Riket","ekonomibyggnad","hav","inom tätort","2022",143
"00 Riket","ekonomibyggnad","hav","inom tätort","2023",150
"00 Riket","ekonomibyggnad","hav","inom formellt skyddad natur","2018",19
"00 Riket","ekonomibyggnad","hav","inom formellt skyddad natur","2019",19
"00 Riket","ekonomibyggnad","hav","inom formellt skyddad natur","2020",19
"00 Riket","ekonomibyggnad","hav","inom formellt skyddad natur","2021",20
"00 Riket","ekonomibyggnad","hav","inom formellt skyddad natur","2022",21
"00 Riket","ekonomibyggnad","hav","inom formellt skyddad natur","2023",21
"00 Riket","ekonomibyggnad","hav","totalt","2018",396
"00 Riket","ekonomibyggnad","hav","totalt","2019",406
"00 Riket","ekonomibyggnad","hav","totalt","2020",359
"00 Riket","ekonomibyggnad","hav","totalt","2021",360
"00 Riket","ekonomibyggnad","hav","totalt","2022",361
"00 Riket","ekonomibyggnad","hav","totalt","2023",365
"00 Riket","ekonomibyggnad","inlandsvatten","inom tätort","2018",600
"00 Riket","ekonomibyggnad","inlandsvatten","inom tätort","2019",613
"00 Riket","ekonomibyggnad","inlandsvatten","inom tätort","2020",610
"00 Riket","ekonomibyggnad","inlandsvatten","inom tätort","2021",627
"00 Riket","ekonomibyggnad","inlandsvatten","inom tätort","2022",668
"00 Riket","ekonomibyggnad","inlandsvatten","inom tätort","2023",716
"00 Riket","ekonomibyggnad","inlandsvatten","inom formellt skyddad natur","2018",213
"00 Riket","ekonomibyggnad","inlandsvatten","inom formellt skyddad natur","2019",215
"00 Riket","ekonomibyggnad","inlandsvatten","inom formellt skyddad natur","2020",215
"00 Riket","ekonomibyggnad","inlandsvatten","inom formellt skyddad natur","2021",215
"00 Riket","ekonomibyggnad","inlandsvatten","inom formellt skyddad natur","2022",231
"00 Riket","ekonomibyggnad","inlandsvatten","inom formellt skyddad natur","2023",230
"00 Riket","ekonomibyggnad","inlandsvatten","totalt","2018",5466
"00 Riket","ekonomibyggnad","inlandsvatten","totalt","2019",5525
"00 Riket","ekonomibyggnad","inlandsvatten","totalt","2020",5570
"00 Riket","ekonomibyggnad","inlandsvatten","totalt","2021",5609
"00 Riket","ekonomibyggnad","inlandsvatten","totalt","2022",6002
"00 Riket","ekonomibyggnad","inlandsvatten","totalt","2023",6042
"00 Riket","ekonomibyggnad","totalt","inom tätort","2018",737
"00 Riket","ekonomibyggnad","totalt","inom tätort","2019",751
"00 Riket","ekonomibyggnad","totalt","inom tätort","2020",750
"00 Riket","ekonomibyggnad","totalt","inom tätort","2021",769
"00 Riket","ekonomibyggnad","totalt","inom tätort","2022",811
"00 Riket","ekonomibyggnad","totalt","inom tätort","2023",866
"00 Riket","ekonomibyggnad","totalt","inom formellt skyddad natur","2018",232
"00 Riket","ekonomibyggnad","totalt","inom formellt skyddad natur","2019",234
"00 Riket","ekonomibyggnad","totalt","inom formellt skyddad natur","2020",234
"00 Riket","ekonomibyggnad","totalt","inom formellt skyddad natur","2021",235
"00 Riket","ekonomibyggnad","totalt","inom formellt skyddad natur","2022",252
"00 Riket","ekonomibyggnad","totalt","inom formellt skyddad natur","2023",251
"00 Riket","ekonomibyggnad","totalt","totalt","2018",5862
"00 Riket","ekonomibyggnad","totalt","totalt","2019",5931
"00 Riket","ekonomibyggnad","totalt","totalt","2020",5929
"00 Riket","ekonomibyggnad","totalt","totalt","2021",5969
"00 Riket","ekonomibyggnad","totalt","totalt","2022",6363
"00 Riket","ekonomibyggnad","totalt","totalt","2023",6407
"00 Riket","komplementbyggnad","hav","inom tätort","2018",62268
"00 Riket","komplementbyggnad","hav","inom tätort","2019",64145
"00 Riket","komplementbyggnad","hav","inom tätort","2020",68322
"00 Riket","komplementbyggnad","hav","inom tätort","2021",71462
"00 Riket","komplementbyggnad","hav","inom tätort","2022",73282
"00 Riket","komplementbyggnad","hav","inom tätort","2023",75133
"00 Riket","komplementbyggnad","hav","inom formellt skyddad natur","2018",8969
"00 Riket","komplementbyggnad","hav","inom formellt skyddad natur","2019",9243
"00 Riket","komplementbyggnad","hav","inom formellt skyddad natur","2020",9368
"00 Riket","komplementbyggnad","hav","inom formellt skyddad natur","2021",9444
"00 Riket","komplementbyggnad","hav","inom formellt skyddad natur","2022",9644
"00 Riket","komplementbyggnad","hav","inom formellt skyddad natur","2023",9749
"00 Riket","komplementbyggnad","hav","totalt","2018",177695
"00 Riket","komplementbyggnad","hav","totalt","2019",183631
"00 Riket","komplementbyggnad","hav","totalt","2020",191186
"00 Riket","komplementbyggnad","hav","totalt","2021",199554
"00 Riket","komplementbyggnad","hav","totalt","2022",206467
"00 Riket","komplementbyggnad","hav","totalt","2023",209397
"00 Riket","komplementbyggnad","inlandsvatten","inom tätort","2018",161918
"00 Riket","komplementbyggnad","inlandsvatten","inom tätort","2019",167817
"00 Riket","komplementbyggnad","inlandsvatten","inom tätort","2020",172791
"00 Riket","komplementbyggnad","inlandsvatten","inom tätort","2021",176775
"00 Riket","komplementbyggnad","inlandsvatten","inom tätort","2022",183400
"00 Riket","komplementbyggnad","inlandsvatten","inom tätort","2023",187907
"00 Riket","komplementbyggnad","inlandsvatten","inom formellt skyddad natur","2018",5524
"00 Riket","komplementbyggnad","inlandsvatten","inom formellt skyddad natur","2019",5890
"00 Riket","komplementbyggnad","inlandsvatten","inom formellt skyddad natur","2020",5987
"00 Riket","komplementbyggnad","inlandsvatten","inom formellt skyddad natur","2021",6122
"00 Riket","komplementbyggnad","inlandsvatten","inom formellt skyddad natur","2022",6358
"00 Riket","komplementbyggnad","inlandsvatten","inom formellt skyddad natur","2023",6477
"00 Riket","komplementbyggnad","inlandsvatten","totalt","2018",550201
"00 Riket","komplementbyggnad","inlandsvatten","totalt","2019",566345
"00 Riket","komplementbyggnad","inlandsvatten","totalt","2020",575634
"00 Riket","komplementbyggnad","inlandsvatten","totalt","2021",588200
"00 Riket","komplementbyggnad","inlandsvatten","totalt","2022",607442
"00 Riket","komplementbyggnad","inlandsvatten","totalt","2023",617293
"00 Riket","komplementbyggnad","totalt","inom tätort","2018",224186
"00 Riket","komplementbyggnad","totalt","inom tätort","2019",231962
"00 Riket","komplementbyggnad","totalt","inom tätort","2020",241113
"00 Riket","komplementbyggnad","totalt","inom tätort","2021",248237
"00 Riket","komplementbyggnad","totalt","inom tätort","2022",256682
"00 Riket","komplementbyggnad","totalt","inom tätort","2023",263040
"00 Riket","komplementbyggnad","totalt","inom formellt skyddad natur","2018",14493
"00 Riket","komplementbyggnad","totalt","inom formellt skyddad natur","2019",15133
"00 Riket","komplementbyggnad","totalt","inom formellt skyddad natur","2020",15355
"00 Riket","komplementbyggnad","totalt","inom formellt skyddad natur","2021",15566
"00 Riket","komplementbyggnad","totalt","inom formellt skyddad natur","2022",16002
"00 Riket","komplementbyggnad","totalt","inom formellt skyddad natur","2023",16226
"00 Riket","komplementbyggnad","totalt","totalt","2018",727896
"00 Riket","komplementbyggnad","totalt","totalt","2019",749976
"00 Riket","komplementbyggnad","totalt","totalt","2020",766820
"00 Riket","komplementbyggnad","totalt","totalt","2021",787754
"00 Riket","komplementbyggnad","totalt","totalt","2022",813909
"00 Riket","komplementbyggnad","totalt","totalt","2023",826690
"00 Riket","övrig byggnad","hav","inom tätort","2018",2971
"00 Riket","övrig byggnad","hav","inom tätort","2019",3081
"00 Riket","övrig byggnad","hav","inom tätort","2020",3304
"00 Riket","övrig byggnad","hav","inom tätort","2021",5437
"00 Riket","övrig byggnad","hav","inom tätort","2022",5934
"00 Riket","övrig byggnad","hav","inom tätort","2023",6333
"00 Riket","övrig byggnad","hav","inom formellt skyddad natur","2018",780
"00 Riket","övrig byggnad","hav","inom formellt skyddad natur","2019",804
"00 Riket","övrig byggnad","hav","inom formellt skyddad natur","2020",817
"00 Riket","övrig byggnad","hav","inom formellt skyddad natur","2021",854
"00 Riket","övrig byggnad","hav","inom formellt skyddad natur","2022",860
"00 Riket","övrig byggnad","hav","inom formellt skyddad natur","2023",866
"00 Riket","övrig byggnad","hav","totalt","2018",8491
"00 Riket","övrig byggnad","hav","totalt","2019",8795
"00 Riket","övrig byggnad","hav","totalt","2020",9028
"00 Riket","övrig byggnad","hav","totalt","2021",13947
"00 Riket","övrig byggnad","hav","totalt","2022",15294
"00 Riket","övrig byggnad","hav","totalt","2023",15398
"00 Riket","övrig byggnad","inlandsvatten","inom tätort","2018",7233
"00 Riket","övrig byggnad","inlandsvatten","inom tätort","2019",7767
"00 Riket","övrig byggnad","inlandsvatten","inom tätort","2020",9373
"00 Riket","övrig byggnad","inlandsvatten","inom tätort","2021",10356
"00 Riket","övrig byggnad","inlandsvatten","inom tätort","2022",11555
"00 Riket","övrig byggnad","inlandsvatten","inom tätort","2023",12098
"00 Riket","övrig byggnad","inlandsvatten","inom formellt skyddad natur","2018",995
"00 Riket","övrig byggnad","inlandsvatten","inom formellt skyddad natur","2019",1050
"00 Riket","övrig byggnad","inlandsvatten","inom formellt skyddad natur","2020",1073
"00 Riket","övrig byggnad","inlandsvatten","inom formellt skyddad natur","2021",1096
"00 Riket","övrig byggnad","inlandsvatten","inom formellt skyddad natur","2022",1168
"00 Riket","övrig byggnad","inlandsvatten","inom formellt skyddad natur","2023",1185
"00 Riket","övrig byggnad","inlandsvatten","totalt","2018",20368
"00 Riket","övrig byggnad","inlandsvatten","totalt","2019",21636
"00 Riket","övrig byggnad","inlandsvatten","totalt","2020",23966
"00 Riket","övrig byggnad","inlandsvatten","totalt","2021",25694
"00 Riket","övrig byggnad","inlandsvatten","totalt","2022",28043
"00 Riket","övrig byggnad","inlandsvatten","totalt","2023",28722
"00 Riket","övrig byggnad","totalt","inom tätort","2018",10204
"00 Riket","övrig byggnad","totalt","inom tätort","2019",10848
"00 Riket","övrig byggnad","totalt","inom tätort","2020",12677
"00 Riket","övrig byggnad","totalt","inom tätort","2021",15793
"00 Riket","övrig byggnad","totalt","inom tätort","2022",17489
"00 Riket","övrig byggnad","totalt","inom tätort","2023",18431
"00 Riket","övrig byggnad","totalt","inom formellt skyddad natur","2018",1775
"00 Riket","övrig byggnad","totalt","inom formellt skyddad natur","2019",1854
"00 Riket","övrig byggnad","totalt","inom formellt skyddad natur","2020",1890
"00 Riket","övrig byggnad","totalt","inom formellt skyddad natur","2021",1950
"00 Riket","övrig byggnad","totalt","inom formellt skyddad natur","2022",2028
"00 Riket","övrig byggnad","totalt","inom formellt skyddad natur","2023",2051
"00 Riket","övrig byggnad","totalt","totalt","2018",28859
"00 Riket","övrig byggnad","totalt","totalt","2019",30431
"00 Riket","övrig byggnad","totalt","totalt","2020",32994
"00 Riket","övrig byggnad","totalt","totalt","2021",39641
"00 Riket","övrig byggnad","totalt","totalt","2022",43337
"00 Riket","övrig byggnad","totalt","totalt","2023",44120
"00 Riket","totalt","hav","inom tätort","2018",111636
"00 Riket","totalt","hav","inom tätort","2019",114002
"00 Riket","totalt","hav","inom tätort","2020",119390
"00 Riket","totalt","hav","inom tätort","2021",124870
"00 Riket","totalt","hav","inom tätort","2022",127574
"00 Riket","totalt","hav","inom tätort","2023",130629
"00 Riket","totalt","hav","inom formellt skyddad natur","2018",14068
"00 Riket","totalt","hav","inom formellt skyddad natur","2019",14395
"00 Riket","totalt","hav","inom formellt skyddad natur","2020",14544
"00 Riket","totalt","hav","inom formellt skyddad natur","2021",14670
"00 Riket","totalt","hav","inom formellt skyddad natur","2022",14913
"00 Riket","totalt","hav","inom formellt skyddad natur","2023",15023
"00 Riket","totalt","hav","totalt","2018",310634
"00 Riket","totalt","hav","totalt","2019",317647
"00 Riket","totalt","hav","totalt","2020",325740
"00 Riket","totalt","hav","totalt","2021",339340
"00 Riket","totalt","hav","totalt","2022",348128
"00 Riket","totalt","hav","totalt","2023",351440
"00 Riket","totalt","inlandsvatten","inom tätort","2018",300133
"00 Riket","totalt","inlandsvatten","inom tätort","2019",307503
"00 Riket","totalt","inlandsvatten","inom tätort","2020",316447
"00 Riket","totalt","inlandsvatten","inom tätort","2021",321958
"00 Riket","totalt","inlandsvatten","inom tätort","2022",331967
"00 Riket","totalt","inlandsvatten","inom tätort","2023",338807
"00 Riket","totalt","inlandsvatten","inom formellt skyddad natur","2018",9952
"00 Riket","totalt","inlandsvatten","inom formellt skyddad natur","2019",10440
"00 Riket","totalt","inlandsvatten","inom formellt skyddad natur","2020",10560
"00 Riket","totalt","inlandsvatten","inom formellt skyddad natur","2021",10725
"00 Riket","totalt","inlandsvatten","inom formellt skyddad natur","2022",11038
"00 Riket","totalt","inlandsvatten","inom formellt skyddad natur","2023",11163
"00 Riket","totalt","inlandsvatten","totalt","2018",950535
"00 Riket","totalt","inlandsvatten","totalt","2019",969993
"00 Riket","totalt","inlandsvatten","totalt","2020",982529
"00 Riket","totalt","inlandsvatten","totalt","2021",997710
"00 Riket","totalt","inlandsvatten","totalt","2022",1023903
"00 Riket","totalt","inlandsvatten","totalt","2023",1035499
"00 Riket","totalt","totalt","inom tätort","2018",411769
"00 Riket","totalt","totalt","inom tätort","2019",421505
"00 Riket","totalt","totalt","inom tätort","2020",435837
"00 Riket","totalt","totalt","inom tätort","2021",446828
"00 Riket","totalt","totalt","inom tätort","2022",459541
"00 Riket","totalt","totalt","inom tätort","2023",469436
"00 Riket","totalt","totalt","inom formellt skyddad natur","2018",24020
"00 Riket","totalt","totalt","inom formellt skyddad natur","2019",24835
"00 Riket","totalt","totalt","inom formellt skyddad natur","2020",25104
"00 Riket","totalt","totalt","inom formellt skyddad natur","2021",25395
"00 Riket","totalt","totalt","inom formellt skyddad natur","2022",25951
"00 Riket","totalt","totalt","inom formellt skyddad natur","2023",26186
"00 Riket","totalt","totalt","totalt","2018",1261169
"00 Riket","totalt","totalt","totalt","2019",1287640
"00 Riket","totalt","totalt","totalt","2020",1308269
"00 Riket","totalt","totalt","totalt","2021",1337050
"00 Riket","totalt","totalt","totalt","2022",1372031
"00 Riket","totalt","totalt","totalt","2023",1386939
"01 Stockholms län","bostad","hav","inom tätort","2018",12106
"01 Stockholms län","bostad","hav","inom tätort","2019",12149
"01 Stockholms län","bostad","hav","inom tätort","2020",12218
"01 Stockholms län","bostad","hav","inom tätort","2021",12226
"01 Stockholms län","bostad","hav","inom tätort","2022",12315
"01 Stockholms län","bostad","hav","inom tätort","2023",12420
